task name,random seed,sample count,accuracy epoch 1,accuracy epoch 2,accuracy epoch 3,accuracy epoch 4,accuracy epoch 5,accuracy epoch 6,accuracy epoch 7,accuracy epoch 8,accuracy epoch 9,accuracy epoch 10,time epoch 1,time epoch 2,time epoch 3,time epoch 4,time epoch 5,time epoch 6,time epoch 7,time epoch 8,time epoch 9,time epoch 10
median_of_two_sorted_arrays_svhn,5848,1000,0.14,0.114,0.13,0.098,0.146,0.124,0.148,0.15,0.152,0.18,694.0947,682.9766,627.4396,659.7951,646.891,630.536,671.4654,621.8529,631.3137,625.5929
median_of_two_sorted_arrays_svhn,9175,1000,0.092,0.1,0.104,0.116,0.1,0.102,0.104,0.142,0.156,0.196,619.4737,606.0318,688.3771,629.925,609.7499,616.7455,628.2123,634.0605,611.3406,643.349
palindrome_number_mnist,3177,100,0.698,0.748,0.712,0.748,0.818,0.826,0.844,0.84,0.824,0.842,47.595,44.1207,44.6934,43.0099,43.6594,43.7781,45.5215,43.0761,43.8144,43.2708
palindrome_number_mnist,5848,100,0.684,0.738,0.724,0.708,0.81,0.826,0.82,0.822,0.824,0.838,46.6587,43.9801,43.0926,43.2265,42.9873,43.2705,45.0399,43.9466,43.3952,43.7103
palindrome_number_mnist,9175,100,0.762,0.792,0.774,0.748,0.776,0.798,0.816,0.836,0.84,0.854,48.8722,43.1428,43.9586,43.678,43.6113,42.9933,44.4488,42.9511,43.9562,44.1914
palindrome_number_svhn,3177,100,0.524,0.472,0.502,0.454,0.476,0.598,0.652,0.658,0.682,0.644,53.1768,50.9053,51.1911,50.9061,50.2398,51.3562,52.2627,51.4709,51.4262,50.7407
palindrome_number_svhn,5848,100,0.512,0.526,0.656,0.688,0.728,0.786,0.74,0.772,0.752,0.77,55.595,52.505,52.2266,51.5875,52.0518,51.5253,53.2601,52.1443,52.6102,52.8879
palindrome_number_svhn,9175,100,0.502,0.506,0.52,0.472,0.516,0.53,0.64,0.64,0.668,0.658,57.2525,52.7989,52.9244,53.5784,53.1543,53.0982,54.5177,54.4466,54.7914,54.0057
integer_to_roman_mnist,3177,100,0.036,0.852,0.912,0.924,0.936,0.944,0.95,0.96,0.944,0.96,51.597,50.353,47.1989,47.1692,47.6951,48.5553,48.4718,47.2632,46.5901,47.346
integer_to_roman_mnist,5848,100,0.026,0.9,0.936,0.928,0.936,0.946,0.96,0.952,0.958,0.954,53.3298,51.0031,52.2763,49.7027,50.1621,49.0987,49.2984,46.4359,49.7986,46.5742
integer_to_roman_mnist,9175,100,0.006,0.822,0.884,0.92,0.938,0.942,0.948,0.946,0.948,0.95,51.1522,47.9027,48.0395,46.5974,49.7859,48.5759,49.1907,50.2603,46.013,45.7158
integer_to_roman_svhn,3177,100,0.002,0.004,0.002,0.002,0.002,0.004,0.004,0.0,0.004,0.002,57.0596,52.5131,53.0944,55.0178,53.995,55.8437,57.7842,55.1897,55.1385,56.5638
integer_to_roman_svhn,5848,100,0.0,0.004,0.002,0.002,0.004,0.004,0.0,0.002,0.004,0.0,58.2297,54.0604,54.7059,55.6177,55.2233,56.1088,58.9852,55.8142,56.288,56.1774
integer_to_roman_svhn,9175,100,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.7393,53.1719,54.1577,56.6611,58.0565,56.0855,57.011,56.2622,55.0055,55.8873
jump_game_mnist,3177,100,0.984,0.986,0.984,0.988,0.992,0.99,0.99,0.99,0.992,0.992,47.6484,44.3846,43.8569,44.1275,44.4312,44.2894,46.084,44.0988,46.0339,45.5326
jump_game_mnist,5848,100,0.988,0.984,0.986,0.992,0.994,0.99,0.992,0.994,0.996,0.996,53.5023,47.4163,47.6092,51.8658,51.6675,47.2012,51.7467,49.8293,49.404,46.9445
jump_game_mnist,9175,100,0.978,0.988,0.992,0.994,0.994,0.988,0.988,0.994,0.996,0.996,47.4366,44.4136,44.534,46.2209,45.6125,44.674,50.9504,49.8664,45.6616,44.3566
